title,platform,genre,curated_vibe,rawg_slug,curated_desc
Final Fantasy X,ps2,JRPG,essential,final-fantasy-x,"One of the most beloved JRPGs ever. Incredible story, memorable characters, and deep turn-based combat."
Final Fantasy XII,ps2,JRPG,essential,final-fantasy-xii,"Strategic, MMO-inspired combat with the Gambit system. A more mature, political story set in Ivalice."
Kingdom Hearts,ps2,Action RPG,essential,kingdom-hearts,"Disney meets Final Fantasy. Charming crossover with surprisingly deep action combat."
Kingdom Hearts II,ps2,Action RPG,essential,kingdom-hearts-ii,"Refines everything from the first. Some of the best action combat on PS2."
Metal Gear Solid 2: Sons of Liberty,ps2,Stealth,essential,metal-gear-solid-2-sons-of-liberty,"Postmodern stealth masterpiece. Controversial at launch, now considered ahead of its time."
Metal Gear Solid 3: Snake Eater,ps2,Stealth,essential,metal-gear-solid-3-snake-eater,"Often called the best in the series. Cold War jungle stealth with incredible boss fights."
Shadow of the Colossus,ps2,Action Adventure,essential,shadow-of-the-colossus,"Nothing but massive boss fights in a hauntingly empty world. A genuine work of art."
ICO,ps2,Puzzle Adventure,essential,ico,"Minimalist escort puzzle game. Atmospheric, haunting, and unforgettable."
Devil May Cry 3: Dante's Awakening,ps2,Action,essential,devil-may-cry-3,"The blueprint for stylish action games. Tight combat, style switching, brutal difficulty."
Ratchet & Clank,ps2,Platformer,essential,ratchet-clank-ps2,"Platforming with absurdly creative weapons. The trilogy starter."
Ratchet & Clank: Going Commando,ps2,Platformer,essential,ratchet-clank-going-commando,"Bigger, better, more weapons. Peak PS2 platforming."
Ratchet & Clank: Up Your Arsenal,ps2,Platformer,essential,ratchet-clank-up-your-arsenal,"Perfected the formula with online multiplayer."
Jak and Daxter: The Precursor Legacy,ps2,Platformer,essential,jak-and-daxter-the-precursor-legacy,"Bright, colourful collectathon platformer from Naughty Dog."
Jak II,ps2,Platformer,essential,jak-ii,"Darker, open-world sequel with guns and hover vehicles."
Jak 3,ps2,Platformer,essential,jak-3,"Desert wasteland setting, refined combat, satisfying conclusion."
Sly Cooper and the Thievius Raccoonus,ps2,Platformer,essential,sly-cooper-and-the-thievius-raccoonus,"Stealth platforming with cel-shaded style and great characters."
Sly 2: Band of Thieves,ps2,Platformer,essential,sly-2-band-of-thieves,"Open hub worlds and multiple playable characters."
Sly 3: Honor Among Thieves,ps2,Platformer,essential,sly-3-honor-among-thieves,"Biggest roster of playable characters, heist missions."
God of War,ps2,Action,essential,god-of-war-2005,"Brutal, cinematic Greek mythology action. Massive set pieces."
God of War II,ps2,Action,essential,god-of-war-ii,"Bigger, more epic sequel. One of the best PS2 games full stop."
Burnout 3: Takedown,ps2,Racing,essential,burnout-3-takedown,"Arguably the best arcade racer ever made. Crashes are half the fun."
SSX 3,ps2,Sports,essential,ssx-3,"Open mountain snowboarding with incredible flow and a killer soundtrack."
Grand Theft Auto: San Andreas,ps2,Open World,essential,grand-theft-auto-san-andreas,"Massive open world across three cities. RPG elements and endless content."
Resident Evil 4,ps2,Action Horror,essential,resident-evil-4-2005,"Redefined third-person action. Tense, replayable, and endlessly influential."
Silent Hill 2,ps2,Horror,essential,silent-hill-2,"Psychological horror at its absolute peak. The story will stay with you."
Silent Hill 3,ps2,Horror,essential,silent-hill-3,"More visceral than SH2 with stunning visuals. Direct sequel to SH1."
Persona 3 FES,ps2,JRPG,essential,shin-megami-tensei-persona-3-fes,"JRPG meets life sim. Dark themes, incredible music, deep social links."
Persona 4,ps2,JRPG,essential,shin-megami-tensei-persona-4,"Murder mystery meets high school sim. Warmer tone, equally addictive."
Dragon Quest VIII,ps2,JRPG,essential,dragon-quest-viii-journey-of-the-cursed-king,"Classic JRPG comfort food with gorgeous cel-shaded visuals."
Shin Megami Tensei: Nocturne,ps2,JRPG,hidden_gem,shin-megami-tensei-iii-nocturne,"Brutally atmospheric demon-collecting RPG. Post-apocalyptic Tokyo."
Yakuza,ps2,Action Adventure,hidden_gem,yakuza,"Where the series started. Rough but fascinating crime drama."
Yakuza 2,ps2,Action Adventure,hidden_gem,yakuza-2,"Bigger, better sequel. Kamurocho and Sotenbori."
Radiata Stories,ps2,Action RPG,hidden_gem,radiata-stories,"Almost every NPC can join your party. Branching paths and charm."
God Hand,ps2,Beat-em-up,hidden_gem,god-hand,"Clover Studio's last game. Absurd, punishing cult classic."
Odin Sphere,ps2,Action RPG,hidden_gem,odin-sphere,"Gorgeous Vanillaware 2D action RPG with interwoven stories."
Dark Cloud 2,ps2,Action RPG,hidden_gem,dark-cloud-2,"Dungeon crawling meets city building meets golf. Genuinely unique."
